Number,FirstName,LastName,Status,Height,IsUndraftedFreeAgent,InjuryStatus
,Matthew,Adams,Inactive,6'0",False,
,Kahlil,McKenzie,Inactive,6'3",False,
,Travin,Howard,Inactive,6'1",False,
,Colby,Gossett,Inactive,6'5",False,
,Danny,Etling,Inactive,6'3",False,
,Jullian,Taylor,Inactive,6'5",False,
,Korey,Cunningham,Inactive,6'6",False,
,Trenton,Cannon,Inactive,5'11",False,
,Austin,Proehl,Inactive,5'11",False,
,Auden,Tate,Inactive,6'5",False,
,Hunter,Bradley,Inactive,6'3",False,
,Justin,Lawler,Inactive,6'4",False,
,Ryan,Izzo,Inactive,6'5",False,
,Justin,Jackson,Inactive,6'0",False,
,Jason,Cabinda,Inactive,6'1",True,
,Richie,James,Inactive,5'9",False,
,Trey,Quinn,Inactive,6'0",False,
,Greg,Stroman Jr.,Inactive,5'11",False,
,Kurt,Benkert,Inactive,6'4",True,
,Reggie,Bonnafon,Inactive,6'0",True,
,Ryan,Nall,Inactive,6'2",True,
,Bunmi,Rotimi,Inactive,6'3",True,
,Kevin,Toliver II,Inactive,6'2",True,
,Trayvon,Henderson,Inactive,6'0",True,
,Phillip,Lindsay,Inactive,5'8",True,
,Michael,Badgley,Inactive,5'10",True,
,Quenton,Meeks,Inactive,6'1",True,
,Tegray,Scales,Inactive,6'0",True,
,Sean,Chandler,Inactive,5'10",True,
,Chandon,Sullivan,Inactive,5'11",True,
,Ola,Adeniyi,Inactive,6'1",True,
,Godwin,Igwebuike,Inactive,6'0",True,
,Rico,Gafford,Inactive,5'10",True,
,J.C.,Jackson,Inactive,6'1",True,
,Christian,Blake,Inactive,6'1",True,
,Devin,Gray,Inactive,6'0",True,
,Jacob,Tuioti-Mariner,Inactive,6'2",True,
,Gus,Edwards,Inactive,6'1",True,
,Robert,Foster,Inactive,6'2",True,
,Mike,Love,Inactive,6'3",True,
,Michael,Joseph,Inactive,6'0",True,
,Jordan,Franks,Inactive,6'4",True,
,Christian,DiLauro,Inactive,6'6",True,
,Tyler,Lancaster,Inactive,6'3",True,
,Vyncint,Smith,Inactive,6'3",True,
,Robert,Jackson,Inactive,6'2",True,
