Number,FantasyPosition,PlayerSeasonID,AuctionValue,AuctionValuePPR
34,DB,991325894,,
99,LB,991304843,,
99,LB,991339152,,
4,WR,991304844,,
4,WR,991339153,,
88,TE,991339154,,
88,TE,991304845,,
80,TE,991304846,,
80,TE,991339155,,
14,DB,991304847,,
14,DB,991339156,,
77,OL,991339157,,
77,OL,991304848,,
64,OL,991304849,,
64,OL,991339158,,
5,DB,991304850,,
90,LB,991304851,,
90,LB,991339159,,
98,DL,991339160,,
98,DL,991304852,,
11,P,991339161,,
11,P,991304853,,
35,LB,991339162,,
35,LB,991304854,,
84,TE,991339163,,
84,TE,991304855,,
94,DL,991304856,,
57,LB,991304857,,
32,LB,991304858,,
32,LB,991339164,,
34,RB,991304859,,
34,RB,991339165,,
95,LB,991339166,,
95,LB,991304860,,
12,WR,991304861,,
72,OL,991304862,,
72,OL,991339167,,
59,LB,991304863,,
97,DL,991304864,,
2,DB,991339168,,
2,DB,991304865,,
70,OL,991339169,,
70,OL,991304866,,
81,WR,991339170,,
81,WR,991304867,,
27,DB,991339171,,
27,DB,991304868,,
26,RB,991304869,,
26,RB,991339172,,
13,QB,991304870,,
50,LB,991304871,,
36,DB,991320824,,
25,DB,991304872,,
61,OL,991304873,,
17,TE,991304874,,
21,DB,991339173,,
21,DB,991304875,,
67,OL,991339174,,
67,OL,991304876,,
76,OL,991304877,,
82,WR,991304878,,
91,DL,991304879,,
24,DB,991304880,,
24,DB,991339175,,
45,LB,991304881,,
45,LB,991339176,,
71,OL,991339177,,
71,OL,991304882,,
49,LB,991304883,,
49,LB,991339178,,
83,WR,991339179,,
83,WR,991304884,,
33,K,991339180,,
33,K,991304885,,
93,DL,991304886,,
93,DL,991339181,,
31,DB,991304887,,
40,LB,991339182,,
40,LB,991304888,,
37,DB,991304889,,
56,LB,991304890,,
74,OL,991304891,,
39,DB,991304892,,
48,LB,991304893,,
87,WR,991304894,,
63,OL,991304895,,
36,RB,991304896,,
86,WR,991304897,,
78,OL,991304898,,
56,OL,991304899,,
41,DB,991304900,,
69,DL,991304901,,
28,DB,991304902,,
30,DB,991339183,,
30,DB,991304903,,
38,DB,991304904,,
38,DB,991339184,,
47,RB,991304905,,
15,K,991339185,,
92,DL,991339186,,
92,DL,991309054,,
45,LB,991339187,,
45,LB,991309055,,
97,DL,991309056,,
97,DL,991339188,,
69,LS,991339189,,
69,LS,991309057,,
11,QB,991309058,,
11,QB,991339190,,
27,DB,991339191,,
27,DB,991309059,,
1,WR,991309060,,
1,WR,991339192,,
73,OL,991339193,,
73,OL,991309061,,
99,DL,991309062,,
60,OL,991309063,,
58,LB,991309064,,
58,LB,991339194,,
16,P,991343059,,
17,QB,991339195,,
17,QB,991309065,,
7,DB,991339196,,
7,DB,991309066,,
14,QB,991309067,,
32,WR,991309068,,
38,DB,991304740,,
76,OL,991309069,,
76,OL,991339197,,
52,DL,991309070,,
26,RB,991309071,,
26,RB,991339198,,
88,TE,991339199,,
88,TE,991309072,,
66,OL,991309073,,
66,OL,991339200,,
91,DL,991339201,,
91,DL,991309074,,
9,DB,991309075,,
9,DB,991339202,,
87,TE,991309076,,
39,DB,991309077,,
39,DB,991339203,,
15,WR,991309078,,
